Epoch,TrainAcc,ValidAcc,TrainLoss,ValidLoss,LR
0,23.89146260754467,24.212872666480916,1.9225011338127984,1.7768331067315464,0.001
1,25.688808387613644,25.52242964614099,1.8061670774883694,1.7608229291850124,0.001
2,30.655891880594936,37.754249094455275,1.7578261915842692,1.6349949836730957,0.001
3,37.32627399073461,45.27723599888549,1.704646126959059,1.440757365062319,0.001
4,42.091330244870946,47.14405126776261,1.6253512472576566,1.4149150519535458,0.001
5,45.70692117454457,49.289495681248255,1.5966927003860474,1.3498383267172451,0.001
6,48.05461701905326,52.10365004179437,1.5831464274724325,1.3065812628844689,0.001
7,49.65341878853321,52.24296461409863,1.5384826887978449,1.2636829326892722,0.001
8,51.11289142777527,54.66703817219282,1.5150997077094184,1.2247505763481403,0.001
9,51.952349437458636,53.496795764837,1.5148455174763997,1.2678840530329738,0.001
10,53.457104044028,50.71050431875174,1.4781025404400296,1.3358305117179607,0.001
11,54.77724755303215,57.2582892170521,1.491754978497823,1.1869648653885414,0.001
12,55.24748336758508,57.81554750626916,1.4893551370832656,1.1975644456929173,0.001
13,56.511895224494054,57.70409584842574,1.4916141271591186,1.172867861287347,0.001
14,56.7348218328747,54.88994148787963,1.4732385598288642,1.1934396768438404,0.001
15,57.64394440767704,60.12816940651993,1.4393980635537043,1.1207015966546947,0.001
16,58.21519384165244,59.79381443298969,1.4391160776880052,1.1964440592404069,0.001
17,58.99195374272877,60.85260518250208,1.3924965148501927,1.1251105152327439,0.001
18,59.685116165662336,60.991919754806354,1.4177450953589545,1.123065841609034,0.001
19,60.20411717579853,62.88659793814433,1.379730708334181,1.0443246529020112,0.001
20,60.754467240238256,62.022847589857896,1.431575353940328,1.1410202034588517,0.001
21,61.4162806088683,61.77208135971023,1.4031452576319376,1.0734054548987026,0.001
22,61.32571667421366,61.79994427417108,1.3808463848961725,1.0811782869799385,0.001
23,61.77156989097495,62.69155753691836,1.3712726020812989,1.0997992795089195,0.001
24,62.38461806402174,62.942323767066036,1.4135138649410672,1.0544945042708824,0.001
25,62.77822285694381,63.41599331290053,1.3427172753545973,1.013807021338364,0.001
26,63.11957922602668,63.945388687656724,1.3720742479960124,1.020598263576113,0.001
27,63.711728029537774,64.41905823349123,1.3430228379037645,1.0253897946456383,0.001
28,64.28297746351318,65.22708275285595,1.3753887203004624,1.0077928715738758,0.001
29,64.66613257166742,65.05990526609084,1.3285145950317383,1.021172202866653,0.001
30,64.93782437563134,64.16829200334355,1.3821332719590929,1.0383212401949127,0.001
31,65.44289247274374,65.11563109501253,1.361318424012926,1.0028584291195046,0.001
32,65.38716082064859,64.41905823349123,1.3672379917568631,1.0187039950798298,0.001
33,65.74941655926713,65.11563109501253,1.3565971705648634,1.001566518997324,0.001
34,66.10818906962973,66.03510727222067,1.3259588842921788,1.0021388366304596,0.001
35,66.55055905813508,64.89272777932572,1.3252027251985339,1.0486064059980984,0.001
